Word	Frequency
div	1170684
a	538390
li	324226
span	307373
script	159971
ul	129377
span	120620
px	110074
lia	107868
the	103445
meta	100232
width	97620
var	97257
td	93394
to	86910
tr	86689
img	76837
height	74584
and	74201
p	66089
typetext	59865
javascript	59865
link	56247
in	55901
false	55637
of	54765
h	54099
if	52750
de	49659
button	42086
targetblank	42050
function	41691
class	41129
i	40408
for	39959
option	38933
typebutton	38543
input	37612
onclickreturn	33841
alt	32257
on	31724
is	29757
href	29362
with	28148
border	28143
br	27742
this	27409
value	25635
your	25497
color	25470
